Quest ID,Quest Name,Faction,Item ID,Item Name,Item Level,Quality,Slot
10588,"The Cipher of Damnation",Both,31036,"Oronok's Ancient Scepter",108,Rare,"Two-Hand"
10588,"The Cipher of Damnation",Both,31038,"Staff of the Redeemer",108,Rare,"Two-Hand"
10588,"The Cipher of Damnation",Both,31062,"Torn-heart Axe of Battle",109,Rare,"Two-Hand"
10588,"The Cipher of Damnation",Both,31073,"Borak's Reminder",109,Rare,"One-Hand"
10588,"The Cipher of Damnation",Both,31072,"Lohn'goron, Bow of the Torn-heart",109,Rare,"Ranged"
10588,"The Cipher of Damnation",Both,31071,"Grom'tor's Charge",109,Rare,"One-Hand"
10588,"The Cipher of Damnation",Both,31074,"Amulet of the Torn-heart",109,Rare,"Neck"
13267,"The Battle For The Undercity",Horde,44346,"Warchief's Leggings of Wisdom",146,Rare,"Legs"
13267,"The Battle For The Undercity",Horde,44347,"Warchief's Legguards of Heroism",146,Rare,"Legs"
13267,"The Battle For The Undercity",Horde,44348,"Warchief's Leggings of Valor",146,Rare,"Legs"
13267,"The Battle For The Undercity",Horde,44349,"Warchief's Legplates of Carnage",146,Rare,"Legs"
13267,"The Battle For The Undercity",Horde,44579,"Medallion of Heroism",146,Rare,"Trinket"
13267,"The Battle For The Undercity",Horde,44583,"Warchief's Legguards of Brutality",146,Rare,"Legs"
13267,"The Battle For The Undercity",Horde,44590,"Warchief's Leggings of Foresight",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44591,"Wrynn's Leggings of Foresight",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44592,"Wrynn's Leggings of Valor",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44595,"Wrynn's Legguards of Heroism",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44594,"Wrynn's Legguards of Brutality",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44593,"Wrynn's Leggings of Wisdom",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44596,"Wrynn's Legplates of Carnage",146,Rare,"Legs"
13377,"The Battle For The Undercity",Alliance,44597,"Medallion of Heroism",146,Rare,"Trinket"
9023,"The Perfect Poison",Both,22347,"Fahrad's Reloading Repeater",65,Rare,"Ranged"
9023,"The Perfect Poison",Both,22348,"Doomulus Prime",65,Rare,"Two-Hand"
9023,"The Perfect Poison",Both,22377,"The Thunderwood Poker",65,Rare,"One-Hand"
9023,"The Perfect Poison",Both,22378,"Ravenholdt Slicer",65,Rare,"One-Hand"
9023,"The Perfect Poison",Both,22379,"Shivsprocket's Shiv",65,Rare,"Main Hand"
9023,"The Perfect Poison",Both,22380,"Simone's Cultivating Hammer",65,Rare,"Main Hand"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22656,"The Purifier",60,Epic,"Ranged"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22657,"Amulet of the Dawn",60,Epic,"Neck"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22659,"Medallion of the Dawn",60,Epic,"Neck"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22667,"Bracers of Hope",60,Epic,"Wrist"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22668,"Bracers of Subterfuge",60,Epic,"Wrist"
9222,"Epic Armaments of Battle - Friend of the Dawn",Both,22678,"Talisman of Ascendance",60,Epic,"Trinket"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22656,"The Purifier",60,Epic,"Ranged"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22657,"Amulet of the Dawn",60,Epic,"Neck"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22659,"Medallion of the Dawn",60,Epic,"Neck"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22667,"Bracers of Hope",60,Epic,"Wrist"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22668,"Bracers of Subterfuge",60,Epic,"Wrist"
9224,"Epic Armaments of Battle - Honored Amongst the Dawn",Both,22678,"Talisman of Ascendance",60,Epic,"Trinket"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22656,"The Purifier",60,Epic,"Ranged"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22657,"Amulet of the Dawn",60,Epic,"Neck"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22659,"Medallion of the Dawn",60,Epic,"Neck"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22667,"Bracers of Hope",60,Epic,"Wrist"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22668,"Bracers of Subterfuge",60,Epic,"Wrist"
9225,"Epic Armaments of Battle - Revered Amongst the Dawn",Both,22678,"Talisman of Ascendance",60,Epic,"Trinket"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22656,"The Purifier",60,Epic,"Ranged"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22657,"Amulet of the Dawn",60,Epic,"Neck"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22659,"Medallion of the Dawn",60,Epic,"Neck"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22667,"Bracers of Hope",60,Epic,"Wrist"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22668,"Bracers of Subterfuge",60,Epic,"Wrist"
9228,"Epic Armaments of Battle - Exalted Amongst the Dawn",Both,22678,"Talisman of Ascendance",60,Epic,"Trinket"
9852,"The Ultimate Bloodsport",Both,25639,"Hemet's Elekk Gun",103,Rare,"Ranged"
9852,"The Ultimate Bloodsport",Both,25640,"Nesingwary Safari Stick",103,Rare,"Ranged"
9852,"The Ultimate Bloodsport",Both,25643,"Harold's Rejuvenating Broach",103,Rare,"Relic"
9852,"The Ultimate Bloodsport",Both,25644,"Blessed Book of Nagrand",103,Rare,"Relic"
9852,"The Ultimate Bloodsport",Both,25645,"Totem of the Plains",103,Rare,"Relic"
9852,"The Ultimate Bloodsport",Both,29211,"Fitz's Throwing Axe",103,Rare,"Thrown"
9977,"The Ring of Blood: The Final Challenge",Both,25760,"Battle Mage's Baton",103,Rare,"Two-Hand"
9977,"The Ring of Blood: The Final Challenge",Both,25759,"Mogor's Anointing Club",103,Rare,"Main Hand"
9977,"The Ring of Blood: The Final Challenge",Both,25761,"Staff of Beasts",103,Rare,"Two-Hand"
9977,"The Ring of Blood: The Final Challenge",Both,25762,"Honed Voidaxe",103,Rare,"Two-Hand"
9977,"The Ring of Blood: The Final Challenge",Both,25763,"Ceremonial Warmaul Blood-blade",103,Rare,"One-Hand"
9977,"The Ring of Blood: The Final Challenge",Both,25764,"Mag'hari Fury Brand",103,Rare,"One-Hand"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30925,"Spaulders of the Torn-heart",109,Rare,"Shoulder"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30939,"Felboar Hide Shoes",109,Rare,"Feet"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30944,"Umberhowl's Collar",109,Rare,"Wrist"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30951,"Ar'tor's Mainstay",109,Rare,"Hands"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30962,"Borak's Belt of Bravery",109,Rare,"Waist"
10579,"The Cipher of Damnation - The Third Fragment Recovered",Both,30967,"The Hands of Fate",109,Rare,"Hands"
10651,"Varedis Must Be Stopped",Both,30933,"Hauberk of Karabor",109,Rare,"Chest"
10651,"Varedis Must Be Stopped",Both,30948,"Sunfury Legguards",109,Rare,"Legs"
10651,"Varedis Must Be Stopped",Both,31002,"Summoner's Blade",109,Rare,"Main Hand"
10651,"Varedis Must Be Stopped",Both,31010,"Slayer's Axe",109,Rare,"Two-Hand"
10651,"Varedis Must Be Stopped",Both,31009,"Wildcaller",109,Rare,"Two-Hand"
10651,"Varedis Must Be Stopped",Both,31013,"Ceremonial Kris",109,Rare,"Main Hand"
10692,"Varedis Must Be Stopped",Both,30933,"Hauberk of Karabor",109,Rare,"Chest"
10692,"Varedis Must Be Stopped",Both,30948,"Sunfury Legguards",109,Rare,"Legs"
10692,"Varedis Must Be Stopped",Both,31002,"Summoner's Blade",109,Rare,"Main Hand"
10692,"Varedis Must Be Stopped",Both,31010,"Slayer's Axe",109,Rare,"Two-Hand"
10692,"Varedis Must Be Stopped",Both,31009,"Wildcaller",109,Rare,"Two-Hand"
10692,"Varedis Must Be Stopped",Both,31013,"Ceremonial Kris",109,Rare,"Main Hand"
10708,"Akama's Promise",undefined,30932,"Akama's Sash",109,Rare,"Waist"
10708,"Akama's Promise",undefined,30943,"Verdant Gloves",109,Rare,"Hands"
10708,"Akama's Promise",undefined,30984,"Spellbreaker's Buckler",109,Rare,"Off Hand"
10708,"Akama's Promise",undefined,30999,"Ashtongue Blade",109,Rare,"One-Hand"
